subdivision_native,subdivision_english,capital_native,capital_english,subdivision_code,commons_file
Baden-Württemberg,Baden-Württemberg,Stuttgart,Stuttgart,DE-BW,Locator map Baden-Württemberg in Germany.svg
Bayern,Bavaria,München,Munich,DE-BY,Locator map Bavaria in Germany.svg
Berlin,Berlin,Berlin,Berlin,DE-BE,Locator map Berlin in Germany.svg
Brandenburg,Brandenburg,Potsdam,Potsdam,DE-BB,Locator map Brandenburg in Germany.svg
Bremen,Bremen,Bremen,Bremen,DE-HB,Locator map Bremen in Germany.svg
Hamburg,Hamburg,Hamburg,Hamburg,DE-HH,Locator map Hamburg in Germany.svg
Hessen,Hesse,Wiesbaden,Wiesbaden,DE-HE,Locator map Hesse in Germany.svg
Mecklenburg-Vorpommern,Mecklenburg-Western Pomerania,Schwerin,Schwerin,DE-MV,Locator map Mecklenburg-Vorpommern in Germany.svg
Niedersachsen,Lower Saxony,Hannover,Hanover,DE-NI,Locator map Lower-Saxony in Germany.svg
Nordrhein-Westfalen,North Rhine-Westphalia,Düsseldorf,Düsseldorf,DE-NW,Locator map North Rhine-Westphalia in Germany.svg
Rheinland-Pfalz,Rhineland-Palatinate,Mainz,Mainz,DE-RP,Locator map Rhineland-Palatinate in Germany.svg
Saarland,Saarland,Saarbrücken,Saarbrücken,DE-SL,Locator map Saarland in Germany.svg
Sachsen,Saxony,Dresden,Dresden,DE-SN,Locator map Saxony in Germany.svg
Sachsen-Anhalt,Saxony-Anhalt,Magdeburg,Magdeburg,DE-ST,Locator map Saxony-Anhalt in Germany.svg
Schleswig-Holstein,Schleswig-Holstein,Kiel,Kiel,DE-SH,Locator map Schleswig-Holstein in Germany.svg
Thüringen,Thuringia,Erfurt,Erfurt,DE-TH,Locator map Thuringia in Germany.svg
